Material,Su,Sy,E,G,mu,Ro,Use
ISO EN X2CrNiMoN17-13-3 ,580,280,206000,80000,0.3,7860,False
ISO EN X2CrNiMoN22-5-3 ,650,450,206000,80000,0.3,7860,False
ISO EN X12CrMnNiN18-9-5 ,680,320,206000,80000,0.3,7860,False
ISO Grey cast iron ,150,150,85000,34000,0.25,7160,False
ISO Grey cast iron ,200,200,85000,34000,0.25,7160,False
ISO Grey cast iron ,250,250,85000,34000,0.25,7160,False
ISO Grey cast iron ,300,300,85000,34000,0.25,7160,False
ISO Grey cast iron ,350,350,85000,34000,0.25,7160,False
ISO Nodular cast iron ,500,320,169000,70000,0.2,7160,False
ISO Nodular cast iron ,600,370,169000,70000,0.2,7160,False
ISO Nodular cast iron ,700,420,169000,70000,0.2,7160,False
ISO Nodular cast iron ,800,480,169000,70000,0.2,7160,False
ISO Malleable cast iron ,400,180,160000,64000,0.27,7160,False
ISO Malleable cast iron ,500,260,160000,64000,0.27,7160,False
DIN DIN 9SMn28 ,460,375,206000,80000,0.3,7860,True
DIN DIN 10S2O ,460,355,206000,80000,0.3,7860,True
DIN DIN 35S20 ,580,365,206000,80000,0.3,7860,False
DIN DIN USt1303 ,270,250,206000,80000,0.3,7860,False
DIN DIN St1405 ,270,210,206000,80000,0.3,7860,False
DIN DIN St1203 ,270,280,206000,80000,0.3,7860,False
DIN DIN USt34-2 ,330,195,206000,80000,0.3,7860,False
DIN DIN St34-2BK ,410,320,206000,80000,0.3,7860,True
DIN DIN St37.0 ,350,225,206000,80000,0.3,7860,False
DIN DIN HI ,360,225,206000,80000,0.3,7860,False
DIN DIN St37-2 ,340,225,206000,80000,0.3,7860,False
DIN DIN St37-2BK ,440,350,206000,80000,0.3,7860,True
DIN DIN RSt37-2 ,340,225,206000,80000,0.3,7860,False
DIN DIN St37-3 ,340,225,206000,80000,0.3,7860,False
DIN DIN HII ,410,255,206000,80000,0.3,7860,True
DIN DIN St44-2 ,410,265,206000,80000,0.3,7860,True
DIN DIN St44.0 ,420,265,206000,80000,0.3,7860,True
DIN DIN St44-3 ,410,265,206000,80000,0.3,7860,True
DIN DIN St50-2 ,470,285,206000,80000,0.3,7860,True
DIN DIN St52-3 ,490,345,206000,80000,0.3,7860,True
DIN DIN St52.0 ,500,345,206000,80000,0.3,7860,True
DIN DIN St52-3BK ,590,470,206000,80000,0.3,7860,False
DIN DIN St60-2 ,570,325,206000,80000,0.3,7860,False
DIN DIN St70-2 ,670,355,206000,80000,0.3,7860,False
DIN DIN Ck10 case-hardened,440,275,206000,80000,0.3,7860,True
DIN DIN Ck15 case-hardened,495,295,206000,80000,0.3,7860,True
DIN DIN Ck22 ,500,300,206000,80000,0.3,7860,True
DIN DIN Ck25 ,500,320,206000,80000,0.3,7860,True
DIN DIN Ck30 ,550,350,206000,80000,0.3,7860,False
DIN DIN Ck35 ,600,370,206000,80000,0.3,7860,False
DIN DIN Cf35 ,580,360,206000,80000,0.3,7860,False
DIN DIN Ck40 heat treated,630,400,206000,80000,0.3,7860,False
DIN DIN Ck45 normalized,535,320,206000,80000,0.3,7860,False
DIN DIN Ck45 heat treated,650,430,206000,80000,0.3,7860,False
DIN DIN Cf45 ,660,410,206000,80000,0.3,7860,False
DIN DIN Ck50 face hardened,700,460,206000,80000,0.3,7860,False
DIN DIN Cf53 ,690,430,206000,80000,0.3,7860,False
DIN DIN Ck55 heat treated,750,500,206000,80000,0.3,7860,False
DIN DIN Ck60 normalized,680,400,206000,80000,0.3,7860,False
DIN DIN Ck60 heat treated,800,520,206000,80000,0.3,7860,False
DIN DIN Ck60 nitro-carburized,800,520,206000,80000,0.3,7860,False
DIN DIN 17Mn4 ,460,290,206000,80000,0.3,7860,True
DIN DIN 28Mn6 ,690,490,206000,80000,0.3,7860,False
DIN DIN 17Cr3 ,590,340,206000,80000,0.3,7860,False
DIN DIN 34Cr4 ,800,590,206000,80000,0.3,7860,False
DIN DIN 37Cr4 heat treated,850,630,206000,80000,0.3,7860,False
DIN DIN 37Cr4 face hardened,850,630,206000,80000,0.3,7860,False
DIN DIN 37Cr4 nitro-case-hard.,1700,1300,206000,80000,0.3,7860,False
DIN DIN 38Cr4 ,830,630,206000,80000,0.3,7860,False
DIN DIN 41Cr4 ,900,660,206000,80000,0.3,7860,False
DIN DIN 42Cr4 ,880,670,206000,80000,0.3,7860,False
DIN DIN 37CrS4 ,850,630,206000,80000,0.3,7860,False
DIN DIN 41CrS4 ,880,665,206000,80000,0.3,7860,False
DIN DIN 55Cr3 heat treated,1450,1270,206000,80000,0.3,7860,False
DIN DIN 16MnCr5 case-hardened,900,680,206000,80000,0.3,7860,False
DIN DIN 20MnCr5 ,980,680,206000,80000,0.3,7860,False
DIN DIN 54SiCr6 heat treated,1370,1180,206000,80000,0.3,7860,False
DIN DIN 15Mo3 ,440,270,206000,80000,0.3,7860,True
DIN DIN 13CrMo4 ,450,295,206000,80000,0.3,7860,True
DIN DIN WTSt52-3 ,490,345,206000,80000,0.3,7860,True
DIN DIN 25CrMo4 ,800,600,206000,80000,0.3,7860,False
DIN DIN 34CrMo4 ,900,650,206000,80000,0.3,7860,False
DIN DIN 42CrMo4 ,1000,750,206000,80000,0.3,7860,False
DIN DIN 41CrMo4 ,980,760,206000,80000,0.3,7860,False
DIN DIN 49CrMo4 ,880,690,206000,80000,0.3,7860,False
DIN DIN 30CrV9 nitrided,800,600,206000,80000,0.3,7860,False
DIN DIN 42CrV6 heat treated,980,850,206000,80000,0.3,7860,False
DIN DIN 42CrV6 face hardened,980,850,206000,80000,0.3,7860,False
DIN DIN 50CrV4 heat treated,1370,1180,206000,80000,0.3,7860,False
DIN DIN 10CrMo9-10 ,480,300,206000,80000,0.3,7860,True
DIN DIN 41CrAlMo7 ,930,735,206000,80000,0.3,7860,False
DIN DIN 32CrMo12 ,1230,1030,206000,80000,0.3,7860,False
DIN DIN 31CrMo12 ,1000,750,206000,80000,0.3,7860,False
DIN DIN 17CrNiMo6 ,1080,785,206000,80000,0.3,7860,False
DIN DIN 10Ni14 ,490,355,206000,80000,0.3,7860,True
DIN DIN 34CrNiMo6 ,1100,900,206000,80000,0.3,7860,False
DIN DIN 30CrNiMo8 ,1250,1050,206000,80000,0.3,7860,False
DIN DIN 12Ni19 ,530,390,206000,80000,0.3,7860,False
DIN DIN X8Ni9 ,680,585,206000,80000,0.3,7860,False
DIN DIN X6Cr13 ,400,250,206000,80000,0.3,7860,False
DIN DIN X6Cr17 ,450,270,206000,80000,0.3,7860,True
DIN DIN X10Cr13 ,600,420,206000,80000,0.3,7860,False
DIN DIN X20Cr13 ,650,450,206000,80000,0.3,7860,False
DIN DIN X30Cr13 ,800,600,206000,80000,0.3,7860,False
DIN DIN X45CrSi93 ,900,700,206000,80000,0.3,7860,False
DIN DIN X6CrAl13 ,400,250,206000,80000,0.3,7860,False
DIN DIN X20CrNi172 ,750,550,206000,80000,0.3,7860,False
DIN DIN X85CrMoV182 ,1000,800,206000,80000,0.3,7860,False
DIN DIN X5CrNi1810 ,500,195,206000,80000,0.3,7860,False
DIN DIN X10CrNiS189 ,500,195,206000,80000,0.3,7860,False
DIN DIN X6CrNiTi1810 ,500,200,206000,80000,0.3,7860,False
DIN DIN X2CrNi1911 ,460,180,206000,80000,0.3,7860,False
DIN DIN X2CrNiN1810 ,550,270,206000,80000,0.3,7860,False
DIN DIN X5CrNiMo17122 ,510,205,206000,80000,0.3,7860,False
DIN DIN X6CrNiMoTi17122 ,500,210,206000,80000,0.3,7860,False
DIN DIN X2CrNiMo17132 ,490,190,206000,80000,0.3,7860,False
DIN DIN X2CrNiMo18143 ,490,190,206000,80000,0.3,7860,False
DIN DIN X5CrNiMo17133 ,510,205,206000,80000,0.3,7860,False
DIN DIN X2CrNiMoN17122 ,580,280,206000,80000,0.3,7860,False
DIN DIN X2CrNiMoN17133 ,580,295,206000,80000,0.3,7860,False
DIN DIN X2CrNiMoN17135 ,580,285,206000,80000,0.3,7860,False
DIN DIN X8CrMnNi188 ,590,295,206000,80000,0.3,7860,False
DIN DIN X53CrMnNiN219 ,950,580,206000,80000,0.3,7860,False
DIN DIN GG - 15 ,150,150,85000,34000,0.25,7160,False
DIN DIN GG - 20 ,200,200,85000,34000,0.25,7160,False
DIN DIN GG - 25 ,250,250,85000,34000,0.25,7160,False
DIN DIN GG - 30 ,300,300,85000,34000,0.25,7160,False
DIN DIN GG - 35 ,350,350,85000,34000,0.25,7160,False
DIN DIN GGG - 50 ,500,320,169000,70000,0.2,7160,False
DIN DIN GGG - 60 ,600,370,169000,70000,0.2,7160,False
DIN DIN GGG - 70 ,700,420,169000,70000,0.2,7160,False
DIN DIN GGG - 80 ,800,480,169000,70000,0.2,7160,False
DIN DIN GTS - 40 ,400,180,160000,64000,0.27,7160,False
DIN DIN GTS - 50 ,500,260,160000,64000,0.27,7160,False
BS BS 230M07 ,430,300,206000,80000,0.3,7860,True
BS BS 212M36 ,635,370,206000,80000,0.3,7860,False
BS BS CR3GP ,280,140,206000,80000,0.3,7860,False
BS BS CR2PL ,280,140,206000,80000,0.3,7860,False
BS BS CR4GP ,280,140,206000,80000,0.3,7860,False
BS BS CEW2BK ,420,355,206000,80000,0.3,7860,True
BS BS CFS3NBK ,360,215,206000,80000,0.3,7860,False
BS BS Grade 360 ,360,225,206000,80000,0.3,7860,False
BS BS CEW3BK ,450,360,206000,80000,0.3,7860,True
BS BS 40B ,340,225,206000,80000,0.3,7860,False
BS BS 40C ,340,225,206000,80000,0.3,7860,False
BS BS Grade 430 ,410,225,206000,80000,0.3,7860,False
BS BS 43B ,430,245,206000,80000,0.3,7860,False
BS BS CFS6NBK ,460,280,206000,80000,0.3,7860,True
BS BS 43D ,430,245,206000,80000,0.3,7860,False
BS BS 50B ,490,355,206000,80000,0.3,7860,True
BS BS 50C ,490,355,206000,80000,0.3,7860,True
BS BS 50D ,490,355,206000,80000,0.3,7860,True
BS BS CFS8NBK ,540,340,206000,80000,0.3,7860,False
BS BS CEW5BK ,600,480,206000,80000,0.3,7860,False
BS BS 55C ,550,430,206000,80000,0.3,7860,False
BS BS 55E ,550,430,206000,80000,0.3,7860,False
BS BS 070M26 ,490,245,206000,80000,0.3,7860,False
BS BS 080M30 ,550,310,206000,80000,0.3,7860,False
BS BS 080M36 ,625,370,206000,80000,0.3,7860,False
BS BS 080A35 ,625,370,206000,80000,0.3,7860,False
BS BS 080M40 ,625,355,206000,80000,0.3,7860,False
BS BS 080M46 ,625,340,206000,80000,0.3,7860,False
BS BS 060A47 ,700,400,206000,80000,0.3,7860,False
BS BS 080M50 ,625,360,206000,80000,0.3,7860,False
BS BS 060A57 ,775,450,206000,80000,0.3,7860,False
BS BS 070M55 ,775,450,206000,80000,0.3,7860,False
BS BS 150M19 ,550,325,206000,80000,0.3,7860,False
BS BS 251A58 heat treated,1300,1100,206000,80000,0.3,7860,False
BS BS 530A36 ,700,510,206000,80000,0.3,7860,False
BS BS 530M40 heat treated,775,570,206000,80000,0.3,7860,False
BS BS 530M40 face hardened,850,665,206000,80000,0.3,7860,False
BS BS 525A60 heat treated,1380,1180,206000,80000,0.3,7860,False
BS BS 708A25 ,850,665,206000,80000,0.3,7860,False
BS BS 708A37 ,850,665,206000,80000,0.3,7860,False
BS BS 708M40 heat treated,850,665,206000,80000,0.3,7860,False
BS BS 708M40 face hardened,925,740,206000,80000,0.3,7860,False
BS BS 735A51 heat treated,1370,1180,206000,80000,0.3,7860,False
BS BS 905M39 nitrided,775,570,206000,80000,0.3,7860,False
BS BS 722M22 ,850,665,206000,80000,0.3,7860,False
BS BS 722M24 nitrided,850,685,206000,80000,0.3,7860,False
BS BS 817M40 heat treated,1075,925,206000,80000,0.3,7860,False
BS BS 403S17 ,420,245,206000,80000,0.3,7860,False
BS BS 410S21 ,550,340,206000,80000,0.3,7860,False
BS BS 420S37 ,700,490,206000,80000,0.3,7860,False
BS BS 430S17 ,430,245,206000,80000,0.3,7860,False
BS BS 401S45 ,900,685,206000,80000,0.3,7860,False
BS BS 431S29 ,850,635,206000,80000,0.3,7860,False
BS BS 304S15 ,480,195,206000,80000,0.3,7860,False
BS BS 303S31 ,510,190,206000,80000,0.3,7860,False
BS BS 321S31 ,490,195,206000,80000,0.3,7860,False
BS BS 304S11 ,480,180,206000,80000,0.3,7860,False
BS BS 310S31 ,510,205,206000,80000,0.3,7860,False
BS BS 316S11 ,490,190,206000,80000,0.3,7860,False
BS BS 316S31 ,510,205,206000,80000,0.3,7860,False
BS BS 349S54 ,950,580,206000,80000,0.3,7860,False
BS Grey cast iron ,150,150,85000,34000,0.25,7160,False
BS Grey cast iron ,200,200,85000,34000,0.25,7160,False
BS Grey cast iron ,250,250,85000,34000,0.25,7160,False
BS Grey cast iron ,300,300,85000,34000,0.25,7160,False
BS Grey cast iron ,350,350,85000,34000,0.25,7160,False
BS Nodular cast iron ,500,320,169000,70000,0.2,7160,False
BS Nodular cast iron ,600,370,169000,70000,0.2,7160,False
BS Nodular cast iron ,700,420,169000,70000,0.2,7160,False
BS Nodular cast iron ,800,480,169000,70000,0.2,7160,False
BS Malleable cast iron ,400,180,160000,64000,0.27,7160,False
BS Malleable cast iron ,500,260,160000,64000,0.27,7160,False
CSN CSN 10370 ,350,200,206000,80000,0.3,7860,False
CSN CSN 11110 ,400,226,206000,80000,0.3,7860,False
CSN CSN 11110 normalized,471,373,206000,80000,0.3,7860,True
CSN CSN 11120 ,400,255,206000,80000,0.3,7860,True
CSN CSN 11140 normalized,660,520,206000,80000,0.3,7860,False
CSN CSN 11301 ,280,200,206000,80000,0.3,7860,False
CSN CSN 11305 ,290,215,206000,80000,0.3,7860,False
CSN CSN 11321 ,280,200,206000,80000,0.3,7860,False
CSN CSN 11343 ,330,195,206000,80000,0.3,7860,False
CSN CSN 11353 ,340,225,206000,80000,0.3,7860,False
CSN CSN 11368 ,350,225,206000,80000,0.3,7860,False
CSN CSN 11373 ,340,225,206000,80000,0.3,7860,False
CSN CSN 11378 ,360,235,206000,80000,0.3,7860,False
CSN CSN 11418 ,410,255,206000,80000,0.3,7860,True
CSN CSN 11423 ,420,240,206000,80000,0.3,7860,False
CSN CSN 11448 ,430,285,206000,80000,0.3,7860,True
CSN CSN 11453 ,440,265,206000,80000,0.3,7860,True
CSN CSN 11500 ,490,265,206000,80000,0.3,7860,True
CSN CSN 11503 ,490,340,206000,80000,0.3,7860,True
CSN CSN 11523 normalized,510,345,206000,80000,0.3,7860,False
CSN CSN 11600 ,590,315,206000,80000,0.3,7860,False
CSN CSN 11600 face hardened,590,315,206000,80000,0.3,7860,False
CSN CSN 11700 ,686,355,206000,80000,0.3,7860,False
CSN CSN 11700 face hardened,686,355,206000,80000,0.3,7860,False
CSN CSN 12010 case-hardened,490,325,206000,80000,0.3,7860,True
CSN CSN 12020 ,550,350,206000,80000,0.3,7860,False
CSN CSN 12020 case-hardened,490,295,206000,80000,0.3,7860,True
CSN CSN 12024 ,480,300,206000,80000,0.3,7860,True
CSN CSN 12030 ,500,320,206000,80000,0.3,7860,True
CSN CSN 12031 ,550,350,206000,80000,0.3,7860,False
CSN CSN 12040 ,600,370,206000,80000,0.3,7860,False
CSN CSN 12041 ,630,400,206000,80000,0.3,7860,False
CSN CSN 12050 normalized,530,305,206000,80000,0.3,7860,False
CSN CSN 12050 heat treated,640,390,206000,80000,0.3,7860,False
CSN CSN 12051 ,690,440,206000,80000,0.3,7860,False
CSN CSN 12060 ,750,480,206000,80000,0.3,7860,False
CSN CSN 12061 heat treated,800,500,206000,80000,0.3,7860,False
CSN CSN 12071 heat treated,1770,1470,206000,80000,0.3,7860,False
CSN CSN 13030 ,460,285,206000,80000,0.3,7860,True
CSN CSN 13141 ,690,490,206000,80000,0.3,7860,False
CSN CSN 13180 heat treated,1570,1320,206000,80000,0.3,7860,False
CSN CSN 13220 normalized,670,430,206000,80000,0.3,7860,False
CSN CSN 13221 normalized,680,440,206000,80000,0.3,7860,False
CSN CSN 13240 ,780,540,206000,80000,0.3,7860,False
CSN CSN 13242 ,880,685,206000,80000,0.3,7860,False
CSN CSN 13251 heat treated,1270,1080,206000,80000,0.3,7860,False
CSN CSN 13270 heat treated,1420,1210,206000,80000,0.3,7860,False
CSN CSN 14120 ,588,343,206000,80000,0.3,7860,False
CSN CSN 14140 heat treated,883,637,206000,80000,0.3,7860,False
CSN CSN 14140 face hardened,932,785,206000,80000,0.3,7860,False
CSN CSN 14140 nitro-case-hard.,1716,1373,206000,80000,0.3,7860,False
CSN CSN 14141 ,883,687,206000,80000,0.3,7860,False
CSN CSN 14146 ,932,785,206000,80000,0.3,7860,False
CSN CSN 14148 ,657,490,206000,80000,0.3,7860,False
CSN CSN 14220 ,900,680,206000,80000,0.3,7860,False
CSN CSN 14220 case-hardened,785,588,206000,80000,0.3,7860,False
CSN CSN 14221 ,981,686,206000,80000,0.3,7860,False
CSN CSN 14223 case-hardened,883,687,206000,80000,0.3,7860,False
CSN CSN 14230 case-hardened,981,794,206000,80000,0.3,7860,False
CSN CSN 14260 heat treated,1370,1175,206000,80000,0.3,7860,False
CSN CSN 14262 heat treated,1470,1275,206000,80000,0.3,7860,False
CSN CSN 15020 ,440,265,206000,80000,0.3,7860,True
CSN CSN 15121 ,430,295,206000,80000,0.3,7860,True
CSN CSN 15127 ,470,345,206000,80000,0.3,7860,True
CSN CSN 15130 ,690,490,206000,80000,0.3,7860,False
CSN CSN 15131 ,930,735,206000,80000,0.3,7860,False
CSN CSN 15141 ,880,665,206000,80000,0.3,7860,False
CSN CSN 15142 ,1000,750,206000,80000,0.3,7860,False
CSN CSN 15217 ,470,345,206000,80000,0.3,7860,True
CSN CSN 15222 normalized,690,490,206000,80000,0.3,7860,False
CSN CSN 15230 heat treated,1000,850,206000,80000,0.3,7860,False
CSN CSN 15230 Heat-treatment nitrided steel,780,635,206000,80000,0.3,7860,False
CSN CSN 15241 heat treated,1177,981,206000,80000,0.3,7860,False
CSN CSN 15241 heat treated,1716,1373,206000,80000,0.3,7860,False
CSN CSN 15241 face hardened,1177,981,206000,80000,0.3,7860,False
CSN CSN 15260 ,900,700,206000,80000,0.3,7860,False
CSN CSN 15313 ,480,265,206000,80000,0.3,7860,True
CSN CSN 15330 Heat-treatment nitrided steel,834,637,206000,80000,0.3,7860,False
CSN CSN 15340 ,981,785,206000,80000,0.3,7860,False
CSN CSN 15432 ,690,490,206000,80000,0.3,7860,False
CSN CSN 16220 case-hardened,883,637,206000,80000,0.3,7860,False
CSN CSN 16223 ,835,590,206000,80000,0.3,7860,False
CSN CSN 16321 ,880,635,206000,80000,0.3,7860,False
CSN CSN 16326 ,1080,785,206000,80000,0.3,7860,False
CSN CSN 16329 ,440,285,206000,80000,0.3,7860,True
CSN CSN 16343 ,1100,900,206000,80000,0.3,7860,False
CSN CSN 16420 case-hardened,932,785,206000,80000,0.3,7860,False
CSN CSN 16430 heat treated,1080,880,206000,80000,0.3,7860,False
CSN CSN 16527 ,590,390,206000,80000,0.3,7860,False
CSN CSN 16640 heat treated,1569,1275,206000,80000,0.3,7860,False
CSN CSN 17020 normalized,441,245,206000,80000,0.3,7860,False
CSN CSN 17021 normalized,590,415,206000,80000,0.3,7860,False
CSN CSN 17022 normalized,690,455,206000,80000,0.3,7860,False
CSN CSN 17023 normalized,740,495,206000,80000,0.3,7860,False
CSN CSN 17040 normalized,440,265,206000,80000,0.3,7860,True
CSN CSN 17041 normalized,440,295,206000,80000,0.3,7860,True
CSN CSN 17113 normalized,441,245,206000,80000,0.3,7860,False
CSN CSN 17115 normalized,930,685,206000,80000,0.3,7860,False
CSN CSN 17125 normalized,460,270,206000,80000,0.3,7860,True
CSN CSN 17145 normalized,800,560,206000,80000,0.3,7860,False
CSN CSN 17150 normalized,900,650,206000,80000,0.3,7860,False
CSN CSN 17240 normalized,490,186,206000,80000,0.3,7860,False
CSN CSN 17241 normalized,530,195,206000,80000,0.3,7860,False
CSN CSN 17243 normalized,500,190,206000,80000,0.3,7860,False
CSN CSN 17246 normalized,550,210,206000,80000,0.3,7860,False
CSN CSN 17247 normalized,500,195,206000,80000,0.3,7860,False
CSN CSN 17248 normalized,500,205,206000,80000,0.3,7860,False
CSN CSN 17249 normalized,440,175,206000,80000,0.3,7860,False
CSN CSN 17251 normalized,650,350,206000,80000,0.3,7860,False
CSN CSN 17253 normalized,700,350,206000,80000,0.3,7860,False
CSN CSN 17255 normalized,600,250,206000,80000,0.3,7860,False
CSN CSN 17256 normalized,500,230,206000,80000,0.3,7860,False
CSN CSN 17259 normalized,540,265,206000,80000,0.3,7860,False
CSN CSN 17265 normalized,550,230,206000,80000,0.3,7860,False
CSN CSN 17346 normalized,550,205,206000,80000,0.3,7860,False
CSN CSN 17348 normalized,550,215,206000,80000,0.3,7860,False
CSN CSN 17359 normalized,540,275,206000,80000,0.3,7860,False
CSN CSN 17460 normalized,635,295,206000,80000,0.3,7860,False
CSN CSN 17465 normalized,980,590,206000,80000,0.3,7860,False
CSN CSN 17501 normalized,640,490,206000,80000,0.3,7860,False
CSN CSN 422303 ,360,240,169000,70000,0.2,7160,False
CSN CSN 422304 ,420,270,169000,70000,0.2,7160,False
CSN CSN 422305 ,500,320,169000,70000,0.2,7160,False
CSN CSN 422306 ,600,370,169000,70000,0.2,7160,False
CSN CSN 422307 ,700,420,169000,70000,0.2,7160,False
CSN CSN 422308 ,800,480,169000,70000,0.2,7160,False
CSN CSN 422410 ,100,100,80000,32000,0.25,7160,False
CSN CSN 422415 ,150,150,85000,34000,0.25,7160,False
CSN CSN 422420 ,200,200,91000,36400,0.25,7160,False
CSN CSN 422425 ,250,250,105000,42000,0.25,7160,False
CSN CSN 422430 ,300,300,110000,44000,0.25,7160,False
CSN CSN 422435 ,350,350,115000,46000,0.25,7160,False
CSN CSN 422540 ,400,180,160000,64000,0.27,7160,False
CSN CSN 422555 ,580,300,160000,64000,0.27,7160,False
CSN CSN 422630 ,363,200,206000,80000,0.3,7160,False
CSN CSN 422640 ,441,240,206000,80000,0.3,7160,False
CSN CSN 422650 ,490,260,206000,80000,0.3,7160,True
CSN CSN 242660 ,588,300,206000,80000,0.3,7160,False
CSN CSN 422670 ,686,350,206000,80000,0.3,7160,False
CSN CSN 422709 ,530,300,206000,80000,0.3,7160,False
CSN CSN 422712 ,422,250,206000,80000,0.3,7160,False
CSN CSN 422713 ,490,290,206000,80000,0.3,7160,True
CSN CSN 422724 ,637,420,206000,80000,0.3,7160,False
CSN CSN 422735 ,785,520,206000,80000,0.3,7160,False
CSN CSN 422739 ,830,550,206000,80000,0.3,7160,False
CSN CSN 422753 ,981,650,206000,80000,0.3,7160,False
CSN CSN 422906 ,550,390,206000,80000,0.3,7160,False
CSN CSN 422912 ,500,320,206000,80000,0.3,7160,True
CSN CSN 423042 ,380,265,120000,45000,0.31,8800,False
CSN CSN 423044 ,380,265,120000,45000,0.31,8800,False
CSN CSN 423045 ,380,265,120000,45000,0.31,8800,False
CSN CSN 423047 ,380,265,120000,45000,0.31,8800,False
CSN CSN 423115 ,180,160,105000,40000,0.31,8800,False
CSN CSN 423119 ,180,160,105000,40000,0.31,8800,False
CSN CSN 423123 ,180,160,105000,40000,0.31,8800,False
CSN CSN 423135 ,150,120,105000,40000,0.31,8800,False
CSN CSN 423137 ,170,100,105000,40000,0.31,8800,False
CSN CSN 423145 ,400,130,120000,45000,0.32,8800,False
CSN CSN 423147 ,400,130,120000,45000,0.32,8800,False
CSN CSN 423210 ,330,100,100000,37000,0.34,8500,False
CSN CSN 423212 ,330,100,100000,37000,0.34,8500,False
CSN CSN 423213 ,330,100,100000,37000,0.34,8500,False
CSN CSN 423214 ,330,100,100000,37000,0.34,8500,False
CSN CSN 423256 ,350,255,100000,37000,0.34,8500,False
CSN CSN 423311 ,600,350,100000,37000,0.34,8500,False
CSN CSN 424201 ,400,230,73000,26000,0.33,2700,False
CSN CSN 424203 ,430,230,73000,26000,0.33,2700,False
CSN CSN 424204 ,430,230,73000,26000,0.33,2700,False
CSN CSN 424250 ,340,190,73000,26000,0.33,2700,False
CSN CSN 424401 ,280,100,73000,26000,0.33,2700,False
CSN CSN 424413 ,200,110,73000,26000,0.33,2700,False
CSN CSN 424415 ,200,110,73000,26000,0.33,2700,False
GOST Steel ST3KP GOST 380-94 ,360,235,201000,78000,0.29,7856,False
GOST Steel ST3PC GOST 380-94 ,370,245,201000,78000,0.29,7856,False
GOST Steel ST3CP GOST 380-94 ,380,255,201000,78000,0.29,7856,True
GOST Steel ST4KP GOST 380-94 ,400,255,201000,78000,0.29,7856,True
GOST Steel ST4PS GOST 380-94 ,410,265,201000,78000,0.29,7856,True
GOST Steel ST4SP GOST 380-94 ,410,265,201000,78000,0.29,7856,True
GOST Steel ST5PS GOST 380-94 ,490,285,201000,78000,0.29,7856,True
GOST Steel ST5SP GOST 380-94 ,490,295,201000,78000,0.29,7856,True
GOST Steel ST6PS GOST 380-94 ,590,315,201000,78000,0.29,7856,False
GOST Steel ST6SP GOST 380-94 ,600,320,201000,78000,0.29,7856,False
GOST Steel S235 GOST 27772-88 ,360,225,206000,80000,0.3,7860,False
GOST Steel S245 GOST 27772-88 ,370,235,206000,80000,0.3,7860,False
GOST Steel S255 GOST 27772-88 ,370,245,206000,80000,0.3,7860,False
GOST Steel S285 GOST 27772-88 ,390,265,206000,80000,0.3,7860,True
GOST Steel S345 GOST 27772-88 ,450,325,206000,80000,0.3,7860,True
GOST Steel S375 GOST 27772-88 ,480,335,206000,80000,0.3,7860,True
GOST Steel 08 GOST 1050-88 normalized,320,196,203000,78000,0.3,7871,False
GOST Steel 10 GOST 1050-88 normalized,330,205,206000,79000,0.3,7856,False
GOST Steel 10 GOST 1050-88 case-hardened,400,250,206000,79000,0.3,7856,False
GOST Steel 10 GOST 1050-88 Cold working,410,250,206000,79000,0.3,7856,False
GOST Steel 10 GOST 1050-88 Annealing or high tempering,290,190,206000,79000,0.3,7856,False
GOST Steel 15 GOST 1050-88 normalized,370,225,201000,78000,0.29,7850,False
GOST Steel 15 GOST 1050-88 case-hardened,450,250,201000,78000,0.29,7850,False
GOST Steel 15 GOST 1050-88 Cold working,440,340,201000,78000,0.29,7850,True
GOST Steel 15 GOST 1050-88 Annealing or high tempering,340,220,201000,78000,0.29,7850,False
GOST Steel 20 GOST 1050-88 normalized,410,245,212000,82000,0.29,7859,False
GOST Steel 20 GOST 1050-88 case-hardened,500,300,212000,82000,0.29,7859,True
GOST Steel 20 GOST 1050-88 Cold working,490,300,212000,82000,0.29,7859,True
GOST Steel 20 GOST 1050-88 Annealing or high tempering,390,240,212000,82000,0.29,7859,False
GOST Steel 25 GOST 1050-88 normalized,450,275,198000,77000,0.29,7820,True
GOST Steel 25 GOST 1050-88 case-hardened,550,350,198000,77000,0.29,7820,False
GOST Steel 25 GOST 1050-88 Cold working,540,350,198000,77000,0.29,7820,False
GOST Steel 25 GOST 1050-88 Annealing or high tempering,410,270,198000,77000,0.29,7820,True
GOST Steel 30 GOST 1050-88 normalized,490,295,200000,77000,0.3,7850,True
GOST Steel 30 GOST 1050-88 Improved,600,350,200000,77000,0.3,7850,False
GOST Steel 30 GOST 1050-88 Cold working,560,340,200000,77000,0.3,7850,False
GOST Steel 30 GOST 1050-88 Annealing or high tempering,440,290,200000,77000,0.3,7850,True
GOST Steel 30 GOST 1050-88 Quenched and tempered,575,295,200000,77000,0.3,7850,False
GOST Steel 35 GOST 1050-88 normalized,530,315,206000,79000,0.3,7826,False
GOST Steel 35 GOST 1050-88 Improved,650,380,206000,79000,0.3,7826,False
GOST Steel 35 GOST 1050-88 Quenching and cooling in the water,1000,650,206000,79000,0.3,7826,False
GOST Steel 35 GOST 1050-88 Cold working,590,350,206000,79000,0.3,7826,False
